Some messages have been moved to the Issues panel.
​ Fri Jan 22 2021 23:39:57 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 10
​ New Hazard Radius = 1.3
​ new Mingle Factor = 7
​ 191I x:ageGp:fam 135:2:-1 by red 111:1:-1 at gen329 Univ0 prob=0.451
​ 191I x:ageGp:fam 250:2:-1 by blue 911:7:-1 at gen329 Univ0 prob=0.037
​ 191I x:ageGp:fam 251:2:-1 by red 524:3:-1 at gen329 Univ0 prob=0.763
​ 196I x:ageGp:fam 60:1:-1 by red 879:6:-1 at gen332 Univ0 prob=0.708
​ 196I x:ageGp:fam 171:2:-1 by blue 865:6:-1 at gen332 Univ0 prob=0.859
​ 196I x:ageGp:fam 818:5:-1 by blue 370:3:-1 at gen333 Univ0 prob=0.620
​ 196I x:ageGp:fam 521:3:-1 by blue 865:6:-1 at gen333 Univ0 prob=0.078
​ 196I x:ageGp:fam 819:5:-1 by blue 561:4:-1 at gen333 Univ0 prob=0.958
​ 198I x:ageGp:fam 15:0:-1 by yellow 569:4:-1 at gen334 Univ0 prob=0.135
​ 198I x:ageGp:fam 214:2:-1 by blue 172:2:-1 at gen334 Univ0 prob=0.227
​ 201I x:ageGp:fam 7:0:-1 by blue 434:3:-1 at gen335 Univ0 prob=0.920
​ 203I x:ageGp:fam 300:2:-1 by red 52:1:-1 at gen336 Univ0 prob=0.387
​ 204I x:ageGp:fam 194:2:-1 by blue 49:1:-1 at gen337 Univ0 prob=0.859
​ 204I x:ageGp:fam 262:2:-1 by blue 832:6:-1 at gen337 Univ0 prob=0.741
​ 204I x:ageGp:fam 972:8:-1 by blue 434:3:-1 at gen337 Univ0 prob=0.800
​ 205I x:ageGp:fam 329:2:-1 by red 698:5:-1 at gen338 Univ0 prob=0.758
​ 208I x:ageGp:fam 81:1:-1 by red 408:3:-1 at gen339 Univ0 prob=0.868
​ 208I x:ageGp:fam 484:3:-1 by blue 172:2:-1 at gen339 Univ0 prob=0.783
​ 208I x:ageGp:fam 585:4:-1 by blue 822:6:-1 at gen339 Univ0 prob=0.359
​ 208I x:ageGp:fam 625:4:-1 by blue 587:4:-1 at gen339 Univ0 prob=0.091
​ 208I x:ageGp:fam 891:6:-1 by blue 605:4:-1 at gen339 Univ0 prob=0.042
​ 208I x:ageGp:fam 795:5:-1 by blue 685:4:-1 at gen339 Univ0 prob=0.029
​ 209I x:ageGp:fam 957:8:-1 by red 260:2:-1 at gen340 Univ0 prob=0.329
​ 209I x:ageGp:fam 671:4:-1 by yellow 928:7:-1 at gen340 Univ0 prob=0.649
​ 217I x:ageGp:fam 6:0:-1 by red 797:5:-1 at gen342 Univ0 prob=0.271
​ 217I x:ageGp:fam 833:6:-1 by blue 24:0:-1 at gen342 Univ0 prob=0.802
​ 217I x:ageGp:fam 913:7:-1 by red 373:3:-1 at gen342 Univ0 prob=0.454
​ 217I x:ageGp:fam 646:4:-1 by red 840:6:-1 at gen342 Univ0 prob=0.552
​ 217I x:ageGp:fam 575:4:-1 by blue 24:0:-1 at gen343 Univ0 prob=0.940
​ 217I x:ageGp:fam 146:2:-1 by blue 899:6:-1 at gen343 Univ0 prob=0.025
​ 217I x:ageGp:fam 153:2:-1 by blue 605:4:-1 at gen343 Univ0 prob=0.667
​ 217I x:ageGp:fam 962:8:-1 by blue 885:6:-1 at gen343 Univ0 prob=0.204
​ 225I x:ageGp:fam 927:7:-1 by blue 36:0:-1 at gen345 Univ0 prob=0.448
​ 225I x:ageGp:fam 131:2:-1 by red 139:2:-1 at gen346 Univ0 prob=0.599
​ 226I x:ageGp:fam 95:1:-1 by red 144:2:-1 at gen347 Univ0 prob=0.085
​ 226I x:ageGp:fam 508:3:-1 by red 899:6:-1 at gen347 Univ0 prob=0.567
​ 226I x:ageGp:fam 684:4:-1 by blue 572:4:-1 at gen347 Univ0 prob=0.752
​ 227I x:ageGp:fam 152:2:-1 by red 40:1:-1 at gen348 Univ0 prob=0.207
​ 227I x:ageGp:fam 421:3:-1 by blue 346:2:-1 at gen348 Univ0 prob=0.995
​ 227I x:ageGp:fam 559:4:-1 by blue 569:4:-1 at gen348 Univ0 prob=0.165
​ 227I x:ageGp:fam 780:5:-1 by blue 569:4:-1 at gen348 Univ0 prob=0.594
​ 230I x:ageGp:fam 96:1:-1 by red 797:5:-1 at gen349 Univ0 prob=0.949
​ 230I x:ageGp:fam 848:6:-1 by red 293:2:-1 at gen349 Univ0 prob=0.674
​ 230I x:ageGp:fam 294:2:-1 by red 327:2:-1 at gen349 Univ0 prob=0.525
​ 230I x:ageGp:fam 442:3:-1 by blue 349:2:-1 at gen349 Univ0 prob=0.990
​ 230I x:ageGp:fam 400:3:-1 by yellow 554:4:-1 at gen349 Univ0 prob=0.895
​ 234I x:ageGp:fam 337:2:-1 by blue 316:2:-1 at gen350 Univ0 prob=0.191
​ 234I x:ageGp:fam 790:5:-1 by red 740:5:-1 at gen350 Univ0 prob=0.024
​ 239I x:ageGp:fam 394:3:-1 by blue 20:0:-1 at gen351 Univ0 prob=0.396
​ 241I x:ageGp:fam 315:2:-1 by red 248:2:-1 at gen352 Univ0 prob=0.579
​ 242I x:ageGp:fam 676:4:-1 by red 3:0:-1 at gen353 Univ0 prob=0.703
​ 242I x:ageGp:fam 311:2:-1 by blue 172:2:-1 at gen353 Univ0 prob=0.957
​ 242I x:ageGp:fam 514:3:-1 by blue 700:5:-1 at gen353 Univ0 prob=0.784
​ 242I x:ageGp:fam 807:5:-1 by blue 961:8:-1 at gen353 Univ0 prob=0.374
​ 243I x:ageGp:fam 785:5:-1 by red 40:1:-1 at gen354 Univ0 prob=0.914
