​ Wed Jan 20 2021 14:32:39 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 10
​ New Hazard Radius = 1.7
​ new Mingle Factor = 7
​ 88I j:ageGp:fam 901:6:-1 by red 184:2:-1 at gen184 Univ0 prob=0.219
​ 88I i:ageGp:fam 221:2:-1 by blue 738:5:-1 at gen184 Univ0 prob=0.802
​ 89I j:ageGp:fam 448:3:-1 by blue 249:2:-1 at gen185 Univ0 prob=0.214
​ 92I j:ageGp:fam 579:4:-1 by yellow 365:3:-1 at gen186 Univ0 prob=0.467
​ 92I i:ageGp:fam 534:3:-1 by red 832:6:-1 at gen186 Univ0 prob=0.381
​ 92I i:ageGp:fam 640:4:-1 by red 739:5:-1 at gen186 Univ0 prob=0.751
​ 93I i:ageGp:fam 145:2:-1 by red 739:5:-1 at gen187 Univ0 prob=0.847
​ 93I j:ageGp:fam 816:5:-1 by blue 161:2:-1 at gen187 Univ0 prob=0.430
​ 96I i:ageGp:fam 79:1:-1 by yellow 534:3:-1 at gen188 Univ0 prob=0.334
​ 96I j:ageGp:fam 947:7:-1 by blue 497:3:-1 at gen188 Univ0 prob=0.546
​ 98I j:ageGp:fam 883:6:-1 by blue 340:2:-1 at gen189 Univ0 prob=0.252
​ 98I j:ageGp:fam 866:6:-1 by blue 795:5:-1 at gen189 Univ0 prob=0.386
​ 100I i:ageGp:fam 142:2:-1 by blue 400:3:-1 at gen190 Univ0 prob=0.433
​ 100I i:ageGp:fam 483:3:-1 by yellow 534:3:-1 at gen190 Univ0 prob=0.009
​ 100I i:ageGp:fam 545:4:-1 by blue 965:8:-1 at gen190 Univ0 prob=0.585
​ 102I j:ageGp:fam 877:6:-1 by blue 249:2:-1 at gen191 Univ0 prob=0.572
​ 102I i:ageGp:fam 389:3:-1 by blue 497:3:-1 at gen191 Univ0 prob=0.620
​ 102I i:ageGp:fam 423:3:-1 by blue 456:3:-1 at gen191 Univ0 prob=0.418
​ 102I i:ageGp:fam 427:3:-1 by red 496:3:-1 at gen191 Univ0 prob=0.843
​ 102I j:ageGp:fam 986:9:-1 by blue 815:5:-1 at gen191 Univ0 prob=0.769
