Biter,Victim,Gens,,,Biter
633,220,501,,,
634,239,458,,,
634,441,508,,,
634,223,527,,,
635,480,453,,,
636,184,468,,,
636,3,509,,,
636,205,534,,,
639,62,506,,,
639,431,507,,,
643,590,358,,,
643,74,366,,,
643,217,400,,,
643,952,400,,,
643,764,489,,,
644,167,401,,,
644,613,421,,,
646,710,372,,,
646,75,378,,,
646,418,378,,,
646,467,420,,,
647,559,453,,,
647,105,454,,,
648,377,446,,,
648,968,467,,,
649,709,356,,,
649,482,377,,,
649,473,449,,,
649,103,459,,,
650,122,436,,,
651,111,245,,,
651,908,246,,,
651,850,251,,,
651,7,372,,,
651,650,380,,,
653,342,658,,,
654,882,279,,,
654,352,280,,,
654,937,379,,,
655,194,590,,,
661,106,489,,,
662,713,564,,,
665,919,522,,,
666,171,387,,,
666,468,483,,,
666,535,549,,,
669,406,439,,,
672,226,459,,,
674,692,498,,,
675,833,543,,,
681,893,233,,,
681,409,260,,,
681,597,260,,,
681,518,304,,,
681,259,324,,,
681,214,356,,,
681,682,384,,,
682,442,446,,,
682,172,455,,,
683,236,528,,,
686,566,476,,,
686,250,492,,,
686,985,571,,,
688,589,384,,,
688,899,448,,,
689,611,387,,,
689,4,411,,,
689,306,427,,,
689,395,462,,,
691,525,519,,,
691,331,524,,,
694,452,584,,,
695,842,420,,,
695,77,446,,,
695,246,542,,,
698,931,478,,,
700,248,377,,,
700,507,446,,,
701,550,473,,,
707,328,442,,,
710,995,457,,,
710,145,458,,,
712,967,539,,,
714,238,531,,,
716,773,398,,,
716,141,401,,,
716,22,409,,,
716,313,424,,,
716,155,483,,,
723,677,467,,,
727,333,522,,,
729,619,495,,,
731,376,436,,,
731,91,440,,,
731,490,453,,,
731,874,470,,,
736,750,525,,,
739,12,494,,,
741,160,307,,,
741,554,417,,,
741,219,480,,,
742,683,439,,,
742,778,444,,,
742,938,511,,,
745,895,547,,,
745,426,551,,,
746,216,535,,,
749,288,477,,,
749,272,498,,,
752,485,549,,,
